=== Table Summary ===
**Column Analysis:**

1. Rank:
   - Data type: Numeric
   - 4 representative example values: 235, 245, 253, 267
   - Role: Identifier, indicating the ranking of the islands based on area.

2. Island:
   - Data type: Categorical
   - 4 representative example values: Mykonos, Rebbenesøya, Hertsön, Frei
   - Role: Descriptor, identifying the name of the island.

3. Area (km²):
   - Data type: Numeric
   - 4 representative example values: 86, 82, 73, 63
   - Role: Measure, quantifying the area of the island in square kilometers.

4. Area (sq mi):
   - Data type: Numeric
   - 4 representative example values: 34, 32, 28, 24
   - Role: Measure, quantifying the area of the island in square miles.

5. Country/Countries/Region:
   - Data type: Categorical
   - 4 representative example values: Greece, Norway, Sweden, Guernsey
   - Role: Descriptor, indicating the country or region to which the island belongs.

**Outlier Row Analysis:**

1. Row 59 (National Cup = Semifinals):
   - The values in this row are not provided in the table preview, so it is not possible to determine why it is considered an outlier. Therefore, it is an ordinary row and requires no special handling.

2. Row 36 (Reg. Season = 5th?):
   - The values in this row are not provided in the table preview, so it is not possible to determine why it is considered an outlier. Therefore, it is an ordinary row and requires no special handling.

3. Row 44:
   - The values in this row are not provided in the table preview, so it is not possible to determine why it is considered an outlier. Therefore, it is an ordinary row and requires no special handling.

=== Full Table Preview ===
|   row_number |   Rank | Island                                                   |   Area\n(km²) |   Area\n(sq mi) | Country/Countries/Region                      |
|-------------:|-------:|:---------------------------------------------------------|--------------:|----------------:|:----------------------------------------------|
|            0 |    209 | Mljet                                                    |         100   |            39   | Croatia                                       |
|            1 |    210 | Kythnos                                                  |          99   |            38   | Greece                                        |
|            2 |    211 | Sylt                                                     |          99   |            38   | Germany                                       |
|            3 |    212 | Askøy                                                    |          99   |            38   | Norway                                        |
|            4 |    213 | Santa Maria Island                                       |          97   |            37   | Portugal                                      |
|            5 |    214 | Astypalaia                                               |          97   |            38   | Greece                                        |
|            6 |    215 | Amager                                                   |          96   |            37   | Denmark                                       |
|            7 |    216 | Ithaki                                                   |          96   |            37   | Greece                                        |
|            8 |    217 | Borðoy                                                   |          95   |            37   | Faroe Islands an autonomous region of Denmark |
|            9 |    218 | Salamis                                                  |          95   |            37   | Greece                                        |
|           10 |    219 | Skopelos                                                 |          95   |            37   | Greece                                        |
|           11 |    220 | Sheppey                                                  |          94   |            36   | United Kingdom                                |
|           12 |    221 | Gräsö                                                    |          93   |            36   | Sweden                                        |
|           13 |    222 | Lemland                                                  |          92   |            36   | Finland                                       |
|           14 |    223 | Vormsi                                                   |          92   |            36   | Estonia                                       |
|           15 |    224 | Rab                                                      |          91   |            36   | Croatia                                       |
|           16 |    225 | Eckerö                                                   |          91   |            36   | Finland                                       |
