=== Table Summary ===
**Column Analysis:**

1. Num:
   - Data type: Numeric
   - 4 representative example values: 27, 29, 36, 48
   - Role of the column: Identifier for each experiment in the table

2. Pod Color:
   - Data type: Categorical
   - 4 representative example values: nan, Yellow and Purple
   - Role of the column: Descriptor of the color of the experiment's pod

3. Nickname:
   - Data type: Categorical
   - 4 representative example values: Plushy, Checkers, Poki, Echo
   - Role of the column: Descriptor of the experiment's nickname

4. Short Description:
   - Data type: Text
   - 4 representative example values: Description for each experiment
   - Role of the column: Descriptor of the experiment's characteristics and abilities

5. Episode:
   - Data type: Categorical
   - 4 representative example values: Leroy & Stitch, 207, 203, 215
   - Role of the column: Descriptor of the episode where the experiment appeared

**Outlier Row Analysis:**

1. Row 35:
   - The values in this row are not significantly different from the majority of the table. They are ordinary values and do not make this row an outlier.

2. Row 28:
   - The values in this row are not significantly different from the majority of the table. They are ordinary values and do not make this row an outlier.

3. Row 23:
   - The values in this row are not significantly different from the majority of the table. They are ordinary values and do not make this row an outlier.

=== Full Table Preview ===
|   row_number |   Num | Pod Color         | Nickname                                | Short Description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | Episode                                |
|-------------:|------:|:------------------|:----------------------------------------|:-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:---------------------------------------|
|            0 |     1 | Blue              | Shrink                                  | A small purple experiment with a white lower jaw and chest three wobbly legs two stubby little arms and two floppy antennae with two rings on each antenna. Designed to zap a green ray from his antennas to change the size of objects. His picture appears on the wall of Jumba's lab in Leroy & Stitch along with several other pictures of Jumba and Dr. Hämsterviel's early accomplishments.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | Leroy & Stitch                         |
|            1 |     2 | Purple            | Doubledip                               | A purple opossum-like experiment with two light purple stripes on the back of his ears beady eyes and an orange nose (In Leroy & Stitch his nose is dark purple). Designed to double-dip food. His one true place is with Mrs. Hasagawa as one of her "cats". He somehow changed in size in Leroy & Stitch.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | 220 Leroy & Stitch                     |
|            2 |     3 |                   | Howcome                                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|            3 |     4 |                   | Squawk                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|            4 |     5 |                   | Truxx                                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|            5 |     6 |                   | Percy                                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|            6 |     7 | White             | Gigi (also known as "Yapper")           | She is a white Shih Tzu-like experiment with a purple bow. Designed to annoy people with her constant barking. She behaves like a typical "good dog": does tricks licks her owner's face fetches the morning paper etc. Because of her appearance and behavior 007 was adopted by Mertle and wasn't recognized as an experiment until Jumba saw her. Her episode is named "Yapper" after the nickname Lilo gave her but she is officially "Gigi" on the experiment name list in Leroy & Stitch. Her one true place is with Mertle as her pet. In Leroy and Stitch it is revealed that she can speak English very well. At the end of the movie Mertle joins Lilo and Stitch's ʻohana because Gigi wants to be in it with the rest of Jumba's experiments. She is voiced by Tress MacNeille.                                                                                                                                                                                                                                                                                                                                                                                                                            | 108 118 209 Leroy & Stitch             |
|            7 |     8 | Orange/Brown      | Carmine                                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|            8 |     9 |                   | Pop                                     |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
