=== Table Summary ===
**Column Analysis:**

1. Name
   - Data type: Categorical
   - 4 representative example values: euro, lArr, sim, perp
   - Role: Identifier

2. Character
   - Data type: Categorical
   - 4 representative example values: €, ⇐, ∼, ⊥
   - Role: Descriptor

3. Unicode code point (decimal)
   - Data type: Numeric
   - 4 representative example values: 8364, 8656, 8764, 8869
   - Role: Descriptor

4. Standard
   - Data type: Categorical
   - 4 representative example values: HTML 4.0, HTML 5.0
   - Role: Descriptor

5. DTD
   - Data type: Categorical
   - 4 representative example values: HTMLspecial, HTMLsymbol
   - Role: Descriptor

6. Old ISO subset
   - Data type: Categorical
   - 4 representative example values: NEW, ISOtech
   - Role: Descriptor

7. Description
   - Data type: Descriptor
   - 4 representative example values: euro sign, leftwards double arrow, tilde operator, up tack

**Outlier Row Analysis:**

1. Row 2 (Index 2)
   - The values for Standard (HTML 4.0) and DTD (HTMLsymbol) are different from the majority of the table.
   - These values make the row distinctive as it deviates from the common pattern seen in other rows.

2. Row 242 (Index 242)
   - The values for Standard (HTML 5.0) and DTD (?) are different from the majority of the table.
   - The ambiguous value for DTD makes this row stand out, indicating it as an outlier.

3. Row 187 (Index 187)
   - The values for Standard (HTML 4.0) and Old ISO subset (?) are different from the majority of the table.
   - The presence of an ambiguous value for Old ISO subset makes this row unique compared to the rest.

=== Full Table Preview ===
|   row_number | Name     | Character   |   Unicode code point (decimal) | Standard   | DTD         | Old ISO subset   | Description                                                             |
|-------------:|:---------|:------------|-------------------------------:|:-----------|:------------|:-----------------|:------------------------------------------------------------------------|
|            0 | quot     | "           |                             22 | HTML 2.0   | HTMLspecial | ISOnum           | quotation mark (APL quote)                                              |
|            1 | amp      | &           |                             26 | HTML 2.0   | HTMLspecial | ISOnum           | ampersand                                                               |
|            2 | apos     | '           |                             27 | XHTML 1.0  | HTMLspecial | ISOnum           | apostrophe (apostrophe-quote); see below                                |
|            3 | lt       | <           |                              3 | HTML 2.0   | HTMLspecial | ISOnum           | less-than sign                                                          |
|            4 | gt       | >           |                              3 | HTML 2.0   | HTMLspecial | ISOnum           | greater-than sign                                                       |
|            5 | nbsp     |             |                              0 | HTML 3.2   | HTMLlat1    | ISOnum           | no-break space (non-breaking space)                                     |
|            6 | iexcl    | ¡           |                              0 | HTML 3.2   | HTMLlat1    | ISOnum           | inverted exclamation mark                                               |
|            7 | cent     | ¢           |                              0 | HTML 3.2   | HTMLlat1    | ISOnum           | cent sign                                                               |
|            8 | pound    | £           |                              0 | HTML 3.2   | HTMLlat1    | ISOnum           | pound sign                                                              |
|            9 | curren   | ¤           |                              0 | HTML 3.2   | HTMLlat1    | ISOnum           | currency sign                                                           |
|           10 | yen      | ¥           |                              0 | HTML 3.2   | HTMLlat1    | ISOnum           | yen sign (yuan sign)                                                    |
|           11 | brvbar   | ¦           |                              0 | HTML 3.2   | HTMLlat1    | ISOnum           | broken bar (broken vertical bar)                                        |
|           12 | sect     | §           |                              0 | HTML 3.2   | HTMLlat1    | ISOnum           | section sign                                                            |
|           13 | uml      | ¨           |                              0 | HTML 3.2   | HTMLlat1    | ISOdia           | diaeresis (spacing diaeresis); see Germanic umlaut                      |
|           14 | copy     | ©           |                              0 | HTML 3.2   | HTMLlat1    | ISOnum           | copyright symbol                                                        |
|           15 | ordf     | ª           |                              0 | HTML 3.2   | HTMLlat1    | ISOnum           | feminine ordinal indicator                                              |
|           16 | laquo    | «           |                              0 | HTML 3.2   | HTMLlat1    | ISOnum           | left-pointing double angle quotation mark (left pointing guillemet)     |
|           17 | not      | ¬           |                              0 | HTML 3.2   | HTMLlat1    | ISOnum           | not sign                                                                |
|           18 | shy      |             |                              0 | HTML 3.2   | HTMLlat1    | ISOnum           | soft hyphen (discretionary hyphen)                                      |
|           19 | reg      | ®           |                              0 | HTML 3.2   | HTMLlat1    | ISOnum           | registered sign (registered trademark symbol)                           |
|           20 | macr     | ¯           |                              0 | HTML 3.2   | HTMLlat1    | ISOdia           | macron (spacing macron overline APL overbar)                            |
|           21 | deg      | °           |                              0 | HTML 3.2   | HTMLlat1    | ISOnum           | degree symbol                                                           |
|           22 | plusmn   | ±           |                              0 | HTML 3.2   | HTMLlat1    | ISOnum           | plus-minus sign (plus-or-minus sign)                                    |
|           23 | sup2     | ²           |                              0 | HTML 3.2   | HTMLlat1    | ISOnum           | superscript two (superscript digit two squared)                         |
|           24 | sup3     | ³           |                              0 | HTML 3.2   | HTMLlat1    | ISOnum           | superscript three (superscript digit three cubed)                       |
|           25 | acute    | ´           |                              0 | HTML 3.2   | HTMLlat1    | ISOdia           | acute accent (spacing acute)                                            |
|           26 | micro    | µ           |                              0 | HTML 3.2   | HTMLlat1    | ISOnum           | micro sign                                                              |
|           27 | para     | ¶           |                              0 | HTML 3.2   | HTMLlat1    | ISOnum           | pilcrow sign (paragraph sign)                                           |
|           28 | middot   | ·           |                              0 | HTML 3.2   | HTMLlat1    | ISOnum           | middle dot (Georgian comma Greek middle dot)                            |
|           29 | cedil    | ¸           |                              0 | HTML 3.2   | HTMLlat1    | ISOdia           | cedilla (spacing cedilla)                                               |
|           30 | sup1     | ¹           |                              0 | HTML 3.2   | HTMLlat1    | ISOnum           | superscript one (superscript digit one)                                 |
|           31 | ordm     | º           |                              0 | HTML 3.2   | HTMLlat1    | ISOnum           | masculine ordinal indicator                                             |
|           32 | raquo    | »           |                              0 | HTML 3.2   | HTMLlat1    | ISOnum           | right-pointing double angle quotation mark (right pointing guillemet)   |
|           33 | frac14   | ¼           |                              0 | HTML 3.2   | HTMLlat1    | ISOnum           | vulgar fraction one quarter (fraction one quarter)                      |
