=== Table ID ===
csv/202-csv/81.tsv

=== Question ===
how many different flyby's have been done for the halley comet?

=== Sub-table Preview ===
| Comet                     | Discoverer(s) or namesake(s)   |   Orbital period (years) | Spacecraft encounter(s)   |
|:--------------------------|:-------------------------------|-------------------------:|:--------------------------|
| 67P/Churyumov–Gerasimenko | Churyumov & Gerasimenko        |                     6.45 | Rosetta (orbiter 2014)    |
| 217P/LINEAR               | LINEAR                         |                     7.83 | nan                       |
| 237P/LINEAR               | LINEAR                         |                     6.57 | nan                       |
| 273P/Pons–Gambart         | Pons & Gambart                 |                   188    | nan                       |
| 276P/Vorobjov             | Vorobjov                       |                    12.5  | nan                       |
| 277P/LINEAR               | LINEAR                         |                     7.59 | nan                       |

=== Table Summary ===
**Column Analysis:**

1. Comet
   - Data type: Categorical
   - 4 representative example values: 67P/Churyumov–Gerasimenko, 217P/LINEAR, 237P/LINEAR, 273P/Pons–Gambart
   - Role: Identifier

2. Discoverer(s) or namesake(s)
   - Data type: Categorical
   - 4 representative example values: Churyumov & Gerasimenko, LINEAR, Pons & Gambart, Vorobjov
   - Role: Descriptor

3. Orbital period (years)
   - Data type: Numeric
   - 4 representative example values: 6.45, 7.83, 6.57, 188
   - Role: Measure

4. Spacecraft encounter(s)
   - Data type: Categorical
   - 4 representative example values: Rosetta (orbiter 2014), nan
   - Role: Descriptor

**Outlier Row Analysis:**

1. Row 66:
   - The values in this row are not provided, indicated by "nan" in all columns.
   - This row is an outlier due to missing data in all columns, making it distinct from the majority of the table.

2. Row 275:
   - The values in this row are not provided, indicated by "nan" in all columns.
   - This row is an outlier due to missing data in all columns, making it distinct from the majority of the table.

3. Row 272:
   - The values in this row are not provided, indicated by "nan" in all columns.
   - This row is an outlier due to missing data in all columns, making it distinct from the majority of the table.

=== Full Table Preview ===
|   row_number | Comet                                                        | Discoverer(s) or namesake(s)                                                                |   Orbital period (years) | Spacecraft encounter(s)                                                                                                                |
|-------------:|:-------------------------------------------------------------|:--------------------------------------------------------------------------------------------|-------------------------:|:---------------------------------------------------------------------------------------------------------------------------------------|
|            0 | 1P/Halley                                                    | Halley                                                                                      |                    75.32 | Giotto (flyby 1986) Vega 1 (flyby 1986) Vega 2 (flyby 1986) Suisei (flyby 1986) ICE (distant flyby 1986) Sakigake (distant flyby 1986) |
|            1 | 2P/Encke                                                     | Encke                                                                                       |                     3.3  |                                                                                                                                        |
|            2 | 3D/Biela                                                     | Biela                                                                                       |                   nan    |                                                                                                                                        |
|            3 | 4P/Faye                                                      | Faye                                                                                        |                     7.51 |                                                                                                                                        |
|            4 | 5D/Brorsen                                                   | Brorsen                                                                                     |                   nan    |                                                                                                                                        |
|            5 | 6P/d'Arrest                                                  | d'Arrest                                                                                    |                     6.54 |                                                                                                                                        |
|            6 | 7P/Pons–Winnecke                                             | Pons & Winnecke                                                                             |                     6.36 |                                                                                                                                        |
|            7 | 8P/Tuttle                                                    | Tuttle                                                                                      |                    13.61 |                                                                                                                                        |
|            8 | 9P/Tempel (Tempel 1)                                         | Tempel                                                                                      |                     5.58 | Deep Impact (impactor/flyby 2005) Stardust (flyby 2011)                                                                                |
|            9 | 10P/Tempel (Tempel 2)                                        | Tempel                                                                                      |                     5.37 |                                                                                                                                        |
|           10 | 11P/Tempel–Swift–LINEAR                                      | Tempel & Swift & LINEAR                                                                     |                     6.37 |                                                                                                                                        |
|           11 | 12P/Pons–Brooks                                              | Pons & Brooks                                                                               |                    70.85 |                                                                                                                                        |
|           12 | 13P/Olbers                                                   | Olbers                                                                                      |                    69.52 |                                                                                                                                        |
|           13 | 14P/Wolf                                                     | Wolf                                                                                        |                     8.74 |                                                                                                                                        |
|           14 | 15P/Finlay                                                   | Finlay                                                                                      |                     6.5  |                                                                                                                                        |
|           15 | 16P/Brooks (Brooks 2)                                        | Brooks                                                                                      |                     6.14 |                                                                                                                                        |
|           16 | 17P/Holmes                                                   | Holmes                                                                                      |                     6.88 |                                                                                                                                        |
|           17 | 18D/Perrine–Mrkos                                            | Perrine & Mrkos                                                                             |                   nan    |                                                                                                                                        |
|           18 | 19P/Borrelly                                                 | Borrelly                                                                                    |                     6.85 | Deep Space 1 (flyby 2001)                                                                                                              |
|           19 | 20D/Westphal                                                 | Westphal                                                                                    |                   nan    |                                                                                                                                        |
|           20 | 21P/Giacobini–Zinner                                         | Giacobini & Zinner                                                                          |                     6.6  | ICE (distant flyby 1985)                                                                                                               |
|           21 | 22P/Kopff                                                    | Kopff                                                                                       |                     6.43 | CRAF (rendezvous/lander 2000 – cancelled)                                                                                              |
