=== Table ID ===
csv/203-csv/488.tsv

=== Question ===
how many books were not published by, whitman publishing between 1930 and 1940?

=== Sub-table Preview ===
|   Year | Title                             | Genre      | Publisher            | Notes                |
|-------:|:----------------------------------|:-----------|:---------------------|:---------------------|
|   1906 | Spirit of the Border              | Historical | A. L. Burt & Company | Sequel to Betty Zane |
|   1922 | The Day of the Beast              | Fiction    | Harper & Brothers    | nan                  |
|   1924 | The Call of the Canyon            | Western    | Harper & Brothers    | nan                  |
|   1925 | The Thundering Herd               | Western    | Harper & Brothers    | nan                  |
|   1930 | The Shepherd of Guadaloupe        | Western    | Harper & Brothers    | nan                  |
|   1979 | The Camp Robber and other Stories | Western    | Walter J. Black      | nan                  |

=== Table Summary ===
**Column Analysis:**

1. Year:
   - Data type: Numeric
   - 4 representative example values: 1906, 1922, 1924, 1930
   - Role: Identifier for the year the title was published

2. Title:
   - Data type: Categorical
   - 4 representative example values: Spirit of the Border, The Day of the Beast, The Call of the Canyon, The Thundering Herd
   - Role: Descriptor for the title of the book

3. Genre:
   - Data type: Categorical
   - 4 representative example values: Historical, Fiction, Western
   - Role: Descriptor for the genre of the book

4. Publisher:
   - Data type: Categorical
   - 4 representative example values: A. L. Burt & Company, Harper & Brothers, Walter J. Black
   - Role: Descriptor for the publisher of the book

5. Notes:
   - Data type: Categorical
   - 4 representative example values: Sequel to Betty Zane, nan
   - Role: Additional information or notes about the book

**Outlier Row Analysis:**

1. Row 1:
   - The value "Spirit of the Border" in the Title column is a distinctive value as it is the only title with a specific name mentioned.
   - The value "Historical" in the Genre column is not common in the table, making this row stand out.
   - The Notes column has a specific note "Sequel to Betty Zane" which is unique compared to the other rows.
   - This row is an outlier due to the specific and unique values present in each column.

2. Row 91:
   - No specific distinctive values found in this row, all values are common and not unique.
   - This row is an ordinary row and does not require special handling.

3. Row 24:
   - The value "The Camp Robber and other Stories" in the Title column is a distinctive value as it is the only title with multiple stories mentioned.
   - The value "Western" in the Genre column is common in the table, but the specific title makes this row stand out.
   - The Publisher column has a specific publisher "Walter J. Black" which is unique compared to the other rows.
   - This row is an outlier due to the specific title and publisher mentioned.

=== Full Table Preview ===
|   row_number |   Year | Title                                             | Genre      | Publisher             | Notes                                                                       |
|-------------:|-------:|:--------------------------------------------------|:-----------|:----------------------|:----------------------------------------------------------------------------|
|            0 |   1903 | Betty Zane                                        | Historical | Charles Francis Press |                                                                             |
|            1 |   1906 | Spirit of the Border                              | Historical | A. L. Burt & Company  | Sequel to Betty Zane                                                        |
|            2 |   1908 | The Last of the Plainsmen                         | Western    | Outing Publishing     | Inspired by Charles "Buffalo" Jones                                         |
|            3 |   1909 | The Last Trail                                    | Western    | Outing Publishing     | Sequel to Spirit of the Border                                              |
|            4 |   1909 | The ShortStop                                     | Baseball   | A. C. McClurg         |                                                                             |
|            5 |   1910 | The Heritage of the Desert                        | Western    | Harper & Brothers     |                                                                             |
|            6 |   1910 | The Young Forester                                | Western    | Harper & Brothers     |                                                                             |
|            7 |   1911 | The Young Pitcher                                 | Baseball   | Harper & Brothers     |                                                                             |
|            8 |   1911 | The Young Lion Hunter                             | Western    | Harper & Brothers     |                                                                             |
|            9 |   1912 | Riders of the Purple Sage                         | Western    | Harper & Brothers     |                                                                             |
|           10 |   1912 | Ken Ward in the Jungle                            | Western    | Harper & Brothers     |                                                                             |
|           11 |   1913 | Desert Gold                                       | Western    | Harper & Brothers     |                                                                             |
|           12 |   1914 | The Light of Western Stars                        | Western    | Harper & Brothers     |                                                                             |
|           13 |   1915 | The Lone Star Ranger                              | Western    | Harper & Brothers     |                                                                             |
|           14 |   1915 | The Rainbow Trail                                 | Western    | Harper & Brothers     | Sequel to Riders of the Purple Sage                                         |
|           15 |   1916 | The Border Legion                                 | Western    | Harper & Brothers     |                                                                             |
|           16 |   1917 | Wildfire                                          | Western    | Harper & Brothers     |                                                                             |
|           17 |   1918 | The UP Trail                                      | Western    | Harper & Brothers     |                                                                             |
|           18 |   1919 | The Desert of Wheat                               | Western    | Harper & Brothers     |                                                                             |
|           19 |   1919 | Tales of Fishes                                   | Fishing    | Harper & Brothers     |                                                                             |
|           20 |   1920 | The Man of the Forest                             | Western    | Grosset & Dunlap      |                                                                             |
|           21 |   1920 | The Redheaded Outfield and other Baseball Stories | Baseball   | Harper & Brothers     |                                                                             |
|           22 |   1921 | The Mysterious Rider                              | Western    | Harper & Brothers     |                                                                             |
|           23 |   1921 | To the Last Man                                   | Western    | Harper & Brothers     |                                                                             |
|           24 |   1922 | The Day of the Beast                              | Fiction    | Harper & Brothers     |                                                                             |
|           25 |   1922 | Tales of Lonely Trails                            | Adventure  | Harper & Brothers     |                                                                             |
|           26 |   1923 | Wanderer of the Wasteland                         | Western    | Harper & Brothers     |                                                                             |
|           27 |   1923 | Tappan's Burro                                    | Western    | Harper & Brothers     |                                                                             |
|           28 |   1924 | The Call of the Canyon                            | Western    | Harper & Brothers     |                                                                             |
|           29 |   1924 | Roping Lions in the Grand Canyon                  | Adventure  | Harper & Brothers     |                                                                             |
|           30 |   1924 | Tales of Southern Rivers                          | Fishing    | Harper & Brothers     |                                                                             |
|           31 |   1925 | The Thundering Herd                               | Western    | Harper & Brothers     |                                                                             |
|           32 |   1925 | The Vanishing American                            | Western    | Harper & Brothers     |                                                                             |
|           33 |   1925 | Tales of Fishing Virgin Seas                      | Fishing    | Harper & Brothers     |                                                                             |
|           34 |   1926 | Under the Tonto Rim                               | Western    | Harper & Brothers     |                                                                             |
|           35 |   1926 | Tales of the Angler's Eldorado New Zealand        | Fishing    | Harper & Brothers     |                                                                             |
|           36 |   1927 | Forlorn River                                     | Western    | Harper & Brothers     |                                                                             |
|           37 |   1927 | Tales of Swordfish and Tuna                       | Fishing    | Harper & Brothers     |                                                                             |
|           38 |   1928 | Nevada                                            | Western    | Harper & Brothers     | Sequel to Forlorn River                                                     |
|           39 |   1928 | Wild Horse Mesa                                   | Western    | Harper & Brothers     |                                                                             |
|           40 |   1928 | Don the Story of a Lion Dog                       | Western    | Harper & Brothers     |                                                                             |
|           41 |   1928 | Avalanche                                         | Western    | Harper & Brothers     |                                                                             |
|           42 |   1928 | Tales of Fresh Water Fishing                      | Fishing    | Harper & Brothers     |                                                                             |
|           43 |   1929 | Fighting Caravans                                 | Western    | Harper & Brothers     |                                                                             |
|           44 |   1929 | Stairs of Sand                                    | Western    | Harper & Brothers     |                                                                             |
|           45 |   1930 | The Wolf Tracker                                  | Western    | Harper & Brothers     |                                                                             |
|           46 |   1930 | The Shepherd of Guadaloupe                        | Western    | Harper & Brothers     |                                                                             |
|           47 |   1931 | Sunset Pass                                       | Western    | Harper & Brothers     |                                                                             |
|           48 |   1931 | Tales of Tahitian Waters                          | Fishing    | Harper & Brothers     |                                                                             |
|           49 |   1931 | Book of Camps and Trails                          | Adventure  | Harper & Brothers     | Partial re-print of Tales of Lonely Trails                                  |
|           50 |   1932 | Arizona Ames                                      | Western    | Harper & Brothers     |                                                                             |
|           51 |   1932 | Robbers' Roost                                    | Western    | Harper & Brothers     |                                                                             |
|           52 |   1933 | The Drift Fence                                   | Western    | Harper & Brothers     |                                                                             |
