=== Table ID ===
csv/203-csv/128.tsv

=== Question ===
does unicode use the term 'brace' or 'bracket'?

=== Sub-table Preview ===
|   Season | Series                          | Team               |   Races |   Wins |   Poles |   F/Laps |   Podiums | Points   | Position   |
|---------:|:--------------------------------|:-------------------|--------:|-------:|--------:|---------:|----------:|:---------|:-----------|
|     2009 | Asian Formula Renault Challenge | Asia Racing Team   |      12 |      6 |       2 |        4 |         7 | 287      | 2nd        |
|     2010 | Austria Formula 3 Cup           | Sonangol Motopark  |       4 |      1 |       2 |        3 |         2 | 35       | 9th        |
|     2012 | 59th Macau Grand Prix Formula 3 | Angola Racing Team |       2 |      0 |       0 |        0 |         0 | —        | 23rd       |
|     2012 | Masters of Formula 3            | Angola Racing Team |       1 |      0 |       0 |        0 |         0 | —        | 18th       |
|     2012 | British Formula 3 Championship  | Angola Racing Team |       5 |      0 |       0 |        0 |         0 | —        | —          |
|     2013 | GP3 Series                      | Carlin             |      16 |      0 |       0 |        0 |         0 | 0        | 23rd       |

=== Table Summary ===
**Column Analysis:**

1. Season
   - Data type: Numeric
   - 4 representative example values: 2009, 2010, 2012, 2013
   - Role: Identifier for the racing season

2. Series
   - Data type: Categorical
   - 4 representative example values: Asian Formula Renault Challenge, Austria Formula 3 Cup, 59th Macau Grand Prix Formula 3, GP3 Series
   - Role: Descriptor of the racing series

3. Team
   - Data type: Categorical
   - 4 representative example values: Asia Racing Team, Sonangol Motopark, Angola Racing Team, Carlin
   - Role: Descriptor of the racing team

4. Races
   - Data type: Numeric
   - 4 representative example values: 12, 4, 2, 16
   - Role: Measure of the number of races participated in

5. Wins
   - Data type: Numeric
   - 4 representative example values: 6, 1, 0, 0
   - Role: Measure of the number of wins achieved

6. Poles
   - Data type: Numeric
   - 4 representative example values: 2, 2, 0, 0
   - Role: Measure of the number of pole positions achieved

7. F/Laps
   - Data type: Numeric
   - 4 representative example values: 4, 3, 0, 0
   - Role: Measure of the number of fastest laps achieved

8. Podiums
   - Data type: Numeric
   - 4 representative example values: 7, 2, 0, 0
   - Role: Measure of the number of podium finishes achieved

9. Points
   - Data type: Numeric
   - 4 representative example values: 287, 35, —, 0
   - Role: Measure of the total points earned

10. Position
    - Data type: Categorical
    - 4 representative example values: 2nd, 9th, 23rd, —
    - Role: Descriptor of the final position in the championship standings

**Outlier Row Analysis:**

1. Row 2 (Index 2):
   - The team "Sonangol Motopark" has only participated in 4 races, which is significantly lower than the other entries in the table.
   - This row is an outlier due to the unusually low number of races compared to the rest of the data.

2. Row 5 (Index 5):
   - The team "Angola Racing Team" has missing values for all performance metrics (Wins, Poles, F/Laps, Podiums, Points).
   - This row is an outlier due to the lack of performance data, making it distinct from the other entries in the table.

3. Row 11 (Index 11):
   - The team "Carlin" has earned 0 points in the GP3 Series, which is significantly lower than the other entries in the table.
   - This row is an outlier due to the lack of points earned compared to the majority of the data.

=== Full Table Preview ===
|   row_number | name                 | glyph   | C string   | Unicode   | Unicode name              |
|-------------:|:---------------------|:--------|:-----------|:----------|:--------------------------|
|            0 | NUL                  |         | \\0        | U+0000    | NULL (NUL)                |
|            1 | alert                |         | \\a        | U+0007    | BELL (BEL)                |
|            2 | backspace            |         | \\b        | U+0008    | BACKSPACE (BS)            |
|            3 | tab                  |         | \\t        | U+0009    | CHARACTER TABULATION (HT) |
|            4 | carriage-return      |         | \\r        | U+000D    | CARRIAGE RETURN (CR)      |
|            5 | newline              |         | \\n        | U+000A    | LINE FEED (LF)            |
|            6 | vertical-tab         |         | \\v        | U+000B    | LINE TABULATION (VT)      |
|            7 | form-feed            |         | \\f        | U+000C    | FORM FEED (FF)            |
|            8 | space                |         |            | U+0020    | SPACE                     |
|            9 | exclamation-mark     | !       | !          | U+0021    | EXCLAMATION MARK          |
|           10 | quotation-mark       | "       | \\"        | U+0022    | QUOTATION MARK            |
|           11 | number-sign          | #       | #          | U+0023    | NUMBER SIGN               |
|           12 | dollar-sign          | $       | $          | U+0024    | DOLLAR SIGN               |
|           13 | percent-sign         | %       | %          | U+0025    | PERCENT SIGN              |
|           14 | ampersand            | &       | &          | U+0026    | AMPERSAND                 |
|           15 | apostrophe           | '       | \\'        | U+0027    | APOSTROPHE                |
|           16 | left-parenthesis     | (       | (          | U+0028    | LEFT PARENTHESIS          |
|           17 | right-parenthesis    | )       | )          | U+0029    | RIGHT PARENTHESIS         |
|           18 | asterisk             | *       | *          | U+002A    | ASTERISK                  |
|           19 | plus-sign            | +       | +          | U+002B    | PLUS SIGN                 |
|           20 | comma                |         |            | U+002C    | COMMA                     |
|           21 | hyphen               | -       | -          | U+002D    | HYPHEN-MINUS              |
|           22 | period               | .       | .          | U+002E    | FULL STOP                 |
|           23 | slash                | /       | /          | U+002F    | SOLIDUS                   |
|           24 | zero                 | 0       | 0          | U+0030    | DIGIT ZERO                |
|           25 | one                  | 1       | 1          | U+0031    | DIGIT ONE                 |
|           26 | two                  | 2       | 2          | U+0032    | DIGIT TWO                 |
|           27 | three                | 3       | 3          | U+0033    | DIGIT THREE               |
|           28 | four                 | 4       | 4          | U+0034    | DIGIT FOUR                |
|           29 | five                 | 5       | 5          | U+0035    | DIGIT FIVE                |
|           30 | six                  | 6       | 6          | U+0036    | DIGIT SIX                 |
|           31 | seven                | 7       | 7          | U+0037    | DIGIT SEVEN               |
|           32 | eight                | 8       | 8          | U+0038    | DIGIT EIGHT               |
|           33 | nine                 | 9       | 9          | U+0039    | DIGIT NINE                |
|           34 | colon                | :       | :          | U+003A    | COLON                     |
|           35 | semicolon            | ;       | ;          | U+003B    | SEMICOLON                 |
|           36 | less-than-sign       | <       | <          | U+003C    | LESS-THAN SIGN            |
|           37 | equals-sign          | =       | =          | U+003D    | EQUALS SIGN               |
|           38 | greater-than-sign    | >       | >          | U+003E    | GREATER-THAN SIGN         |
|           39 | question-mark        | ?       | ?          | U+003F    | QUESTION MARK             |
|           40 | commercial-at        | @       | @          | U+0040    | COMMERCIAL AT             |
|           41 | A                    | A       | A          | U+0041    | LATIN CAPITAL LETTER A    |
|           42 | B                    | B       | B          | U+0042    | LATIN CAPITAL LETTER B    |
|           43 | C                    | C       | C          | U+0043    | LATIN CAPITAL LETTER C    |
|           44 | D                    | D       | D          | U+0044    | LATIN CAPITAL LETTER D    |
|           45 | E                    | E       | E          | U+0045    | LATIN CAPITAL LETTER E    |
|           46 | F                    | F       | F          | U+0046    | LATIN CAPITAL LETTER F    |
