=== Table ID ===
csv/204-csv/502.tsv

=== Question ===
what is the time difference between take charge indy and vicar?

=== Sub-table Preview ===
|   Year | Winner           |   Age | Jockey             | Trainer        | Owner               | Distance\n(Miles)   | Time    | Purse      | Gr   |
|-------:|:-----------------|------:|:-------------------|:---------------|:--------------------|:--------------------|:--------|:-----------|:-----|
|   2002 | Harlan's Holiday |     3 | Edgar Prado        | Kenneth McPeek | Starlight Stable    | 1-1/8               | 1:48.80 | $1,000,000 | I    |
|   2000 | Hal's Hope       |     3 | Roger Velez        | Harold Rose    | Rose Family Stable  | 1-1/8               | 1:51.49 | $1,000,000 | I    |
|   1989 | Mercedes Won     |     3 | Earlie Fires       | Arnold Fink    | Christopher Spencer | 1-1/8               | 1:49.60 | $500,000   | I    |
|   1985 | Proud Truth      |     3 | Jorge Velasquez    | John M. Veitch | Darby Dan Farm      | 1-1/8               | 1:50.00 | $500,000   | I    |
|   1984 | Swale            |     3 | Laffit Pincay, Jr. | Woody Stephens | Claiborne Farm      | 1-1/8               | 1:47.60 | $300,000   | I    |
|   1972 | Upper Case       |     3 | Ron Turcotte       | Lucien Laurin  | Meadow Stable       | 1-1/8               | 1:50.00 | $130,000   | nan  |

=== Table Summary ===
**Column Analysis:**

1. Year:
   - Data type: Numeric
   - 4 representative example values: 2002, 2000, 1989, 1985
   - Role: Identifier for the year in which the race took place

2. Winner:
   - Data type: Categorical
   - 4 representative example values: Harlan's Holiday, Hal's Hope, Mercedes Won, Proud Truth
   - Role: Descriptor for the name of the winning horse

3. Age:
   - Data type: Numeric
   - 4 representative example values: 3
   - Role: Descriptor for the age of the winning horse

4. Jockey:
   - Data type: Categorical
   - 4 representative example values: Edgar Prado, Roger Velez, Earlie Fires, Jorge Velasquez
   - Role: Descriptor for the name of the winning jockey

5. Trainer:
   - Data type: Categorical
   - 4 representative example values: Kenneth McPeek, Harold Rose, Arnold Fink, John M. Veitch
   - Role: Descriptor for the name of the winning trainer

6. Owner:
   - Data type: Categorical
   - 4 representative example values: Starlight Stable, Rose Family Stable, Christopher Spencer, Darby Dan Farm
   - Role: Descriptor for the name of the winning owner

7. Distance (Miles):
   - Data type: Categorical
   - 4 representative example values: 1-1/8
   - Role: Descriptor for the distance of the race in miles

8. Time:
   - Data type: Categorical
   - 4 representative example values: 1:48.80, 1:51.49, 1:49.60, 1:50.00
   - Role: Descriptor for the time taken to complete the race

9. Purse:
   - Data type: Categorical
   - 4 representative example values: $1,000,000, $500,000, $300,000, $130,000
   - Role: Descriptor for the amount of prize money awarded

10. Gr:
    - Data type: Categorical
    - 4 representative example values: I
    - Role: Descriptor for the grade of the race

**Outlier Row Analysis:**

1. Row 43:
   - The row contains missing data in the "Gr" column (nan).
   - This row is an outlier due to the missing value in the "Gr" column, which deviates from the pattern of categorical values present in other rows.

2. Row 30:
   - The row contains the value "nan" in the "Gr" column.
   - This row is an outlier due to the presence of "nan" in the "Gr" column, which is not a typical categorical value seen in other rows.

3. Row 25:
   - The row contains the value "nan" in the "Gr" column.
   - This row is an outlier due to the presence of "nan" in the "Gr" column, which is not a typical categorical value seen in other rows.

=== Full Table Preview ===
|   row_number |   Year | Winner              |   Age | Jockey             | Trainer              | Owner                     | Distance\n(Miles)   | Time    | Purse    | Gr   |
|-------------:|-------:|:--------------------|------:|:-------------------|:---------------------|:--------------------------|:--------------------|:--------|:---------|:-----|
|            0 |   2014 | Constitution        |     3 | Javier Castellano  | Todd Pletcher        | Winstar Farm              | 1-1/8               | 1:49.17 | $1000000 | I    |
|            1 |   2013 | Orb                 |     3 | John Velazquez     | Claude McGaughey III | Janney/Phipps Stable      | 1-1/8               | 1:50.87 | $1000000 | I    |
|            2 |   2012 | Take Charge Indy    |     3 | Calvin Borel       | Patrick B. Byrne     | C & M Sandford            | 1-1/8               | 1:48.79 | $1000000 | I    |
|            3 |   2011 | Dialed In           |     3 | Julien R. Leparoux | Nick Zito            | Robert V. LaPenta         | 1-1/8               | 1:50.74 | $1000000 | I    |
|            4 |   2010 | Ice Box             |     3 | Jose Lezcano       | Nick Zito            | Robert V. LaPenta         | 1-1/8               | 1:49.19 | $750000  | I    |
|            5 |   2009 | Quality Road        |     3 | John Velazquez     | James A. Jerkens     | Edward P. Evans           | 1-1/8               | 1:47.72 | $750000  | I    |
|            6 |   2008 | Big Brown           |     3 | Kent Desormeaux    | Richard E. Dutrow    | IEAH Stables/Paul Pompa   | 1-1/8               | 1:48.16 | $1000000 | I    |
|            7 |   2007 | Scat Daddy          |     3 | Edgar Prado        | Todd A. Pletcher     | J. Scatuorchio / M. Tabor | 1-1/8               | 1:49.00 | $1000000 | I    |
|            8 |   2006 | Barbaro             |     3 | Edgar Prado        | Michael Matz         | Lael Stables              | 1-1/8               | 1:49.01 | $1000000 | I    |
|            9 |   2005 | High Fly            |     3 | Jerry Bailey       | Nick Zito            | Live Oak Plantation       | 1-1/8               | 1:49.43 | $1000000 | I    |
|           10 |   2004 | Friends Lake        |     3 | Richard Migliore   | John C. Kimmel       | Chester & Mary Broman     | 1-1/8               | 1:51.38 | $1000000 | I    |
|           11 |   2003 | Empire Maker        |     3 | Jerry Bailey       | Robert Frankel       | Juddmonte Farms           | 1-1/8               | 1:49.05 | $1000000 | I    |
|           12 |   2002 | Harlan's Holiday    |     3 | Edgar Prado        | Kenneth McPeek       | Starlight Stable          | 1-1/8               | 1:48.80 | $1000000 | I    |
|           13 |   2001 | Monarchos           |     3 | Jorge Chavez       | John T. Ward Jr.     | John C. Oxley             | 1-1/8               | 1:49.95 | $1000000 | I    |
|           14 |   2000 | Hal's Hope          |     3 | Roger Velez        | Harold Rose          | Rose Family Stable        | 1-1/8               | 1:51.49 | $1000000 | I    |
|           15 |   1999 | Vicar               |     3 | Shane Sellers      | Carl Nafzger         | James B. Tafel            | 1-1/8               | 1:50.83 | $750000  | I    |
|           16 |   1998 | Cape Town †         |     3 | Shane Sellers      | D. Wayne Lukas       | Overbrook Farm            | 1-1/8               | 1:49.21 | $750000  | I    |
|           17 |   1997 | Captain Bodgit      |     3 | Alex Solis         | Gary Capuano         | Team Valor                | 1-1/8               | 1:50.60 | $750000  | I    |
|           18 |   1996 | Unbridled's Song    |     3 | Mike Smith         | James T. Ryerson     | Paraneck Stable           | 1-1/8               | 1:47.85 | $750000  | I    |
|           19 |   1995 | Thunder Gulch       |     3 | Mike Smith         | D. Wayne Lukas       | Michael Tabor             | 1-1/8               | 1:49.70 | $500000  | I    |
