=== Table ID ===
csv/204-csv/454.tsv

=== Question ===
what city is before brasov?

=== Sub-table Preview ===
| City        | County    | Population (2011)   | Population (2002)   |   Altitude (m) | Year status\ngranted* or\nfirst attested†   |
|:------------|:----------|:--------------------|:--------------------|---------------:|:--------------------------------------------|
| Constanța   | Constanța | 283,872             | 310,471             |             25 | 260 BC†                                     |
| Suceava     | Suceava   | 92,121              | 106,138             |            325 | 1388†                                       |
| Găești      | Dâmbovița | 13,317              | 16,598              |            nan | nan                                         |
| Dumbrăveni  | Sibiu     | 7,388               | 8,812               |            nan | nan                                         |
| Techirghiol | Constanța | 7,292               | 7,388               |            nan | nan                                         |
| Segarcea    | Dolj      | 7,019               | 8,704               |            nan | 1968*                                       |

=== Table Summary ===
**Column Analysis:**

1. City
   - Data type: Categorical
   - 4 representative example values: Constanța, Suceava, Găești, Dumbrăveni
   - Role: Identifier for the city where the population is recorded.

2. County
   - Data type: Categorical
   - 4 representative example values: Constanța, Suceava, Dâmbovița, Sibiu
   - Role: Descriptor for the county where the city is located.

3. Population (2011)
   - Data type: Numeric
   - 4 representative example values: 283,872, 92,121, 13,317, 7,388
   - Role: Measure of the population count in the year 2011.

4. Population (2002)
   - Data type: Numeric
   - 4 representative example values: 310,471, 106,138, 16,598, 8,812
   - Role: Measure of the population count in the year 2002.

5. Altitude (m)
   - Data type: Numeric
   - 4 representative example values: 25, 325, nan, nan
   - Role: Measure of the altitude in meters of the city.

6. Year status granted* or first attested†
   - Data type: Categorical
   - 4 representative example values: 260 BC†, 1388†, nan, 1968*
   - Role: Descriptor indicating the year when the city's status was granted or first attested.

**Outlier Row Analysis:**

1. Row 22 (Găești, Dâmbovița, 13,317, 16,598, nan, nan)
   - The values for Population (2011) and Population (2002) are significantly lower compared to other rows in the table, making this row an outlier in terms of population size.

2. Row 4 (Techirghiol, Constanța, 7,292, 7,388, nan, nan)
   - The values for Population (2011) and Population (2002) are very close to each other and lower than other rows, indicating a stable population over the years, which is different from the population trends seen in other cities.

3. Row 243 (Segarcea, Dolj, 7,019, 8,704, nan, 1968*)
   - The year 1968* in the "Year status granted* or first attested†" column is different from the other rows, which have historical dates or "nan". This makes the row an outlier in terms of the year status was granted or first attested.

=== Full Table Preview ===
|   row_number | City                  | County          |   Population (2011) |   Population (2002) |   Altitude (m) | Year status\ngranted* or\nfirst attested†   |
|-------------:|:----------------------|:----------------|--------------------:|--------------------:|---------------:|:--------------------------------------------|
|            0 | Bucharest             | -               |             1883425 |             1926334 |             85 | 1459†                                       |
|            1 | Cluj-Napoca           | Cluj            |              324576 |              317953 |            360 | 1316*                                       |
|            2 | Timișoara             | Timiș           |              319279 |              317660 |             90 | 1342*                                       |
|            3 | Iași                  | Iași            |              290422 |              320888 |             95 | 1408†                                       |
|            4 | Constanța             | Constanța       |              283872 |              310471 |             25 | 260 BC†                                     |
|            5 | Craiova               | Dolj            |              269506 |              302601 |            100 | 1475†                                       |
|            6 | Brașov                | Brașov          |              253200 |              284596 |            625 | 1235†                                       |
|            7 | Galați                | Galați          |              249432 |              298861 |             55 | 1445†                                       |
|            8 | Ploiești              | Prahova         |              209945 |              232527 |            150 | 1596†                                       |
|            9 | Oradea                | Bihor           |              196367 |              206614 |            150 | 1113†                                       |
|           10 | Brăila                | Brăila          |              180302 |              216292 |             20 | 1368†                                       |
|           11 | Arad                  | Arad            |              159074 |              172824 |            107 | 1028†                                       |
|           12 | Pitești               | Argeș           |              155383 |              168458 |            287 | 1388†                                       |
|           13 | Sibiu                 | Sibiu           |              147245 |              154892 |            415 | 1366†                                       |
|           14 | Bacău                 | Bacău           |              144307 |              175500 |            165 | 1408†                                       |
|           15 | Târgu Mureș           | Mureș           |              134290 |              149577 |            330 | 1332*                                       |
|           16 | Baia Mare             | Maramureș       |              123738 |              137976 |            225 | 1329†                                       |
|           17 | Buzău                 | Buzău           |              115494 |              133116 |             95 | 1431†                                       |
|           18 | Botoșani              | Botoșani        |              106847 |              115344 |            130 | 1439†                                       |
|           19 | Satu Mare             | Satu Mare       |              102411 |              115630 |            123 | 1213†                                       |
|           20 | Râmnicu Vâlcea        | Vâlcea          |               98776 |              107656 |            250 | 1388†                                       |
|           21 | Drobeta-Turnu Severin | Mehedinți       |               92617 |              104035 |             65 | 121 AD†/1833*                               |
|           22 | Suceava               | Suceava         |               92121 |              106138 |            325 | 1388†                                       |
|           23 | Piatra Neamț          | Neamț           |               85055 |              105499 |            345 | 1491†                                       |
|           24 | Târgu Jiu             | Gorj            |               82504 |               96562 |            205 |                                             |
|           25 | Târgoviște            | Dâmbovița       |               79610 |               89429 |            280 |                                             |
|           26 | Focșani               | Vrancea         |               79315 |              103219 |             55 | 1575†                                       |
