=== Table ID ===
csv/204-csv/815.tsv

=== Question ===
name all models with the same mpg as fiat 500 1.4 pop.

=== Sub-table Preview ===
| Model                              | Fuel Type   |   mpg (US gallons) |   L/100 km |   NZ Rating\n(Stars) |
|:-----------------------------------|:------------|-------------------:|-----------:|---------------------:|
| Volkswagen Polo 1.4 TDI BLUEMOTION | diesel      |               62   |        3.8 |                  5.5 |
| Fiat 500 1.3 JTD POP               | diesel      |               56   |        4.2 |                  5.5 |
| Hyundai i30 1.6 5D M5              | petrol      |               37.9 |        6.2 |                  4.5 |
| Peugeot 607 HDI 2.2 5DR 6SPM P     | diesel      |               36.7 |        6.4 |                  4.5 |
| BMW 535D SEDAN 6A 4D 3.0L          | diesel      |               34.6 |        6.8 |                  4.5 |
| Volkswagen Touran 103KW TDI 6DSG   | diesel      |               34.6 |        6.8 |                  4.5 |

=== Table Summary ===
**Column Analysis:**

1. Model
   - Data type: Categorical
   - 4 representative example values: Volkswagen Polo 1.4 TDI BLUEMOTION, Fiat 500 1.3 JTD POP, Hyundai i30 1.6 5D M5, Peugeot 607 HDI 2.2 5DR 6SPM P
   - Role: Identifier

2. Fuel Type
   - Data type: Categorical
   - 4 representative example values: diesel, petrol
   - Role: Descriptor

3. mpg (US gallons)
   - Data type: Numeric
   - 4 representative example values: 62, 56, 37.9, 36.7
   - Role: Measure

4. L/100 km
   - Data type: Numeric
   - 4 representative example values: 3.8, 4.2, 6.2, 6.4
   - Role: Measure

5. NZ Rating (Stars)
   - Data type: Numeric
   - 4 representative example values: 5.5, 4.5
   - Role: Measure

**Outlier Row Analysis:**

1. Row 54 (Volkswagen Touran 103KW TDI 6DSG)
   - The values for mpg (34.6) and L/100 km (6.8) are significantly lower compared to the other rows in the table, making this row an outlier in terms of fuel efficiency.

2. Row 0 (Volkswagen Polo 1.4 TDI BLUEMOTION)
   - The values for mpg (62) and L/100 km (3.8) are exceptionally high, indicating superior fuel efficiency compared to the majority of the table. This makes it an outlier in terms of fuel efficiency.

3. Row 4 (BMW 535D SEDAN 6A 4D 3.0L)
   - Similar to row 54, the values for mpg (34.6) and L/100 km (6.8) are lower than the average, making this row an outlier in terms of fuel efficiency.

=== Full Table Preview ===
|   row_number | Model                                    | Fuel Type   |   mpg (US gallons) |   L/100 km |   NZ Rating\n(Stars) |
|-------------:|:-----------------------------------------|:------------|-------------------:|-----------:|---------------------:|
|            0 | Volkswagen Polo 1.4 TDI BLUEMOTION       | diesel      |               62   |        3.8 |                  5.5 |
|            1 | Volkswagen Polo 1.4 TDI 5M               | diesel      |               52   |        4.5 |                  5.5 |
|            2 | Volkswagen Polo 1.4 MAN                  | petrol      |               36.7 |        6.4 |                  4.5 |
|            3 | Volkswagen Polo 1.4 6A                   | petrol      |               34   |        6.9 |                  4.5 |
|            4 | Fiat 500 1.3 JTD POP                     | diesel      |               56   |        4.2 |                  5.5 |
|            5 | Fiat 500 1.2 POP                         | petrol      |               46   |        5.1 |                  5   |
|            6 | Fiat 500 1.4 LOUNGE 3D                   | petrol      |               37.3 |        6.3 |                  4.5 |
|            7 | Fiat 500 1.4 POP                         | petrol      |               37.3 |        6.3 |                  4.5 |
|            8 | Fiat 500 1.4 SPORT                       | petrol      |               37.3 |        6.3 |                  4.5 |
|            9 | Mini Cooper HATCH 6M 2DR 1.5L Diesel     | diesel      |               53   |        4.4 |                  5.5 |
|           10 | Mini Cooper COUPE 6M 3DR 1.6L Diesel     | diesel      |               52   |        4.5 |                  5.5 |
|           11 | Mini Cooper COUPE 6A 3DR 1.6L Diesel     | diesel      |               43.5 |        5.4 |                  5   |
|           12 | Mini Cooper HATCH 6M 2DR 1.6I            | petrol      |               40.5 |        5.8 |                  5   |
|           13 | Mini Cooper COUPE 6M 3DR 1.6L            | petrol      |               39.2 |        6   |                  5   |
|           14 | Mini Cooper HATCH 6M 2DR 1.5L            | petrol      |               35   |        6.7 |                  4.5 |
|           15 | Mini Cooper COUPE 6A 3DR 1.6L            | petrol      |               34.6 |        6.8 |                  4.5 |
|           16 | Citroen C4 1.6 HDI 6A EGS 5DR            | diesel      |               52   |        4.5 |                  5.5 |
|           17 | Citroen C4 1.6 SX 5DR 5SP M D            | diesel      |               50   |        4.7 |                  5   |
|           18 | Citroen C4 2.0 SX 5DR 6SP A D            | diesel      |               37.3 |        6.3 |                  4.5 |
|           19 | Hyundai Getz 1.5D CRDI 5D M5             | diesel      |               52   |        4.5 |                  5.5 |
|           20 | Hyundai Getz 1.4 5D M5                   | petrol      |               38.5 |        6.1 |                  4.5 |
|           21 | Kia Rio 1.5 DIESEL HATCH MAN             | diesel      |               52   |        4.5 |                  5.5 |
|           22 | Kia Rio 1.5 DIESEL SEDAN MAN             | diesel      |               52   |        4.5 |                  5.5 |
|           23 | Kia Rio 1.6 HATCH MANUAL                 | petrol      |               34.6 |        6.8 |                  4.5 |
|           24 | Volkswagen Golf 1.9 TDI BLUEMOTION       | diesel      |               52   |        4.5 |                  5.5 |
